GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade
2019112407,2019-11-24,4,1,54,WAS,DET,4,4,76,42,"(1:54) 3-D.HOPKINS 42 YARD FIELD GOAL IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY.",FIELD GOAL,IS GOOD,3,1
2019112407,2019-11-24,4,12,3,DET,WAS,4,3,97,21,"(12:03) 5-M.PRATER 21 YARD FIELD GOAL IS GOOD, CENTER-48-D.MUHLBACH, HOLDER-6-S.MARTIN.",FIELD GOAL,IS GOOD,3,1
2019112405,2019-11-24,4,0,3,NO,CAR,3,1,85,33,"(:03) 3-W.LUTZ 33 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-6-T.MORSTEAD.",FIELD GOAL,IS GOOD,3,1
2019112405,2019-11-24,4,2,0,CAR,NO,4,10,90,28,"(2:00) 4-J.SLYE 28 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-44-J.JANSEN, HOLDER-5-M.PALARDY.",FIELD GOAL,IS NO GOOD,0,0
2019112405,2019-11-24,2,8,13,CAR,NO,4,6,77,41,"(8:13) 4-J.SLYE 41 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-5-M.PALARDY.",FIELD GOAL,IS GOOD,3,1
2019112404,2019-11-24,3,4,8,CLE,MIA,4,16,73,46,"(4:08) 4-A.SEIBERT 46 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",FIELD GOAL,IS NO GOOD,0,0
2019112402,2019-11-24,3,7,12,CHI,NYG,4,6,94,24,"(7:12) (FIELD GOAL FORMATION) 15-E.PINEIRO 24 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-P.O'DONNELL.",FIELD GOAL,IS GOOD,3,1
2019112404,2019-11-24,2,0,1,MIA,CLE,2,10,82,36,"(:01) 7-J.SANDERS 36 YARD FIELD GOAL IS GOOD, CENTER-46-T.PEPPER, HOLDER-2-M.HAACK.",FIELD GOAL,IS GOOD,3,1
2019112410,2019-11-24,2,0,4,SF,GB,3,10,70,48,"(:04) 5-C.MCLAUGHLIN 48 YARD FIELD GOAL IS GOOD, CENTER-86-K.NELSON, HOLDER-6-M.WISHNOWSKY.",FIELD GOAL,IS GOOD,3,1
2019112500,2019-11-25,4,6,41,BAL,LA,4,13,84,34,"(6:41) 9-J.TUCKER 34 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-S.KOCH.",FIELD GOAL,IS GOOD,3,1
2019112500,2019-11-25,2,2,0,LA,BAL,4,16,72,46,"(2:00) 4-G.ZUERLEIN 46 YARD FIELD GOAL IS GOOD, CENTER-44-J.MCQUAIDE, HOLDER-6-J.HEKKER.",FIELD GOAL,IS GOOD,3,1
2019112500,2019-11-25,2,9,50,LA,BAL,4,12,86,32,"(9:50) 4-G.ZUERLEIN 32 YARD FIELD GOAL IS GOOD, CENTER-44-J.MCQUAIDE, HOLDER-6-J.HEKKER.",FIELD GOAL,IS GOOD,3,1
2019112802,2019-11-28,2,0,8,ATL,NO,2,10,73,45,"(:08) 7-Y.KOO 45 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN.",FIELD GOAL,IS GOOD,3,1
2019112409,2019-11-24,4,6,8,DAL,NE,4,7,89,29,"(6:08) 2-B.MAHER 29 YARD FIELD GOAL IS GOOD, CENTER-91-L.LADOUCEUR, HOLDER-6-C.JONES.",FIELD GOAL,IS GOOD,3,1
2019112409,2019-11-24,4,9,37,NE,DAL,4,20,76,42,"(9:37) 2-N.FOLK 42 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY. NE 9-FOLK 1,101 CAREER PTS, 49TH ALL-TIME.",FIELD GOAL,IS GOOD,3,1
2019112802,2019-11-28,2,4,1,ATL,NO,4,8,75,42,"(4:01) 7-Y.KOO 42 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN.",FIELD GOAL,IS NO GOOD,0,0
2019112802,2019-11-28,2,9,9,NO,ATL,4,4,96,22,"(9:09) 3-W.LUTZ 22 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-6-T.MORSTEAD.",FIELD GOAL,IS GOOD,3,1
2019112400,2019-11-24,3,1,45,ATL,TB,4,14,78,40,"(1:45) 7-Y.KOO 40 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-9-R.ALLEN.",FIELD GOAL,IS GOOD,3,1
2019111800,2019-11-18,1,4,41,LAC,KC,4,5,78,40,"(4:41) (FIELD GOAL FORMATION) 4-M.BADGLEY 40 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-45-C.MAZZA, HOLDER-1-T.LONG. PENALTY ON KC-95-C.JONES, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT KC 30.",FIELD GOAL,IS NO GOOD,0,0
2019111800,2019-11-18,1,9,34,LAC,KC,4,7,91,27,"(9:34) (FIELD GOAL FORMATION) 4-M.BADGLEY 27 YARD FIELD GOAL IS GOOD, CENTER-45-C.MAZZA, HOLDER-1-T.LONG.",FIELD GOAL,IS GOOD,3,1
