name,TSID,turn_in_leg,pbt_start,n_throws,triple_seq,n_success,wonprevious
Adrian Lewis,21,3,261,3,1 0 1,2,0
Adrian Lewis,22,1,501,3,0 1 0,1,1
Adrian Lewis,22,2,405,3,1 0 0,1,1
Adrian Lewis,22,3,305,3,0 1 0,1,1
Adrian Lewis,22,4,209,2,0 1,1,1
Adrian Lewis,23,1,501,3,0 0 1,1,1
Adrian Lewis,23,2,408,3,1 0 1,2,1
Adrian Lewis,23,3,268,3,0 0 0,0,1
Adrian Lewis,23,4,229,3,0 0 1,1,1
Adrian Lewis,24,1,501,3,0 1 0,1,0
Adrian Lewis,24,2,420,3,0 0 0,0,0
Adrian Lewis,24,3,378,3,1 1 0,2,0
Adrian Lewis,24,4,238,3,0 0 1,1,0
Adrian Lewis,25,1,501,3,1 1 1,3,0
Adrian Lewis,25,2,321,3,0 0 1,1,0
Adrian Lewis,25,3,221,3,0 0 1,1,0
Adrian Lewis,26,1,501,3,1 1 0,2,0
Adrian Lewis,26,2,361,3,0 1 0,1,0
Adrian Lewis,26,3,261,3,0 1 0,1,0
Adrian Lewis,27,1,501,3,0 0 0,0,0
Adrian Lewis,27,2,444,3,0 1 0,1,0
Adrian Lewis,27,3,344,3,0 0 1,1,0
